"12gr -- Palveluiden ulkomaankauppa alueittain ja palveluerittäin, vuosittain, 2013-2023"

"Alue","2023 Vienti, miljoonaa euroa S Palvelut","2023 Vienti, miljoonaa euroa SA Tuotannolliset palvelut","2023 Vienti, miljoonaa euroa SB Huolto- ja korjauspalvelut, muualla luokittelemattomat","2023 Vienti, miljoonaa euroa SC Kuljetus","2023 Vienti, miljoonaa euroa SD Matkailu","2023 Vienti, miljoonaa euroa SE Rakentaminen","2023 Vienti, miljoonaa euroa SF Vakuutus- ja eläkepalvelut","2023 Vienti, miljoonaa euroa SG Rahoituspalvelut","2023 Vienti, miljoonaa euroa SH Henkisen omaisuuden käytöstä perityt maksut, muualle luokittelemattomat","2023 Vienti, miljoonaa euroa SI Televiestintä-, tietotekniikka- ja tietopalvelut","2023 Vienti, miljoonaa euroa SJ Muut liike-elämän palvelut","2023 Vienti, miljoonaa euroa SK Henkilökohtaiset, kulttuuri- ja virkistyspalvelut","2023 Vienti, miljoonaa euroa SL Julkisyhteisöjen tuottamat tavarat ja tarjoamat palvelut, muualle luokittelemattomat"
"Afganistan",1,.,.,.,.,.,.,.,.,.,.,.,.
"Alankomaat",1232,104,23,217,90,5,0,8,55,330,388,7,4
"Albania",2,.,.,.,.,.,.,.,.,.,.,.,.
"Algeria",7,.,.,.,.,.,.,.,.,.,.,.,.
"Amerikan Samoa",0,.,.,.,.,.,.,.,.,.,.,.,.
"Andorra",2,.,.,.,.,.,.,.,.,.,.,.,.
"Angola",9,.,.,.,.,.,.,.,.,.,.,.,.
"Anguilla",0,.,.,.,.,.,.,.,.,.,.,.,.
"Antarktis",0,.,.,.,.,.,.,.,.,.,.,.,.
"Antigua ja Barbuda",1,.,.,.,.,.,.,.,.,.,.,.,.
"Arabiemiirikunnat",161,.,.,.,.,.,.,.,.,.,.,.,.
"Argentiina",19,...,1,1,3,...,...,...,...,13,1,...,...
"Armenia",...,.,.,.,.,.,.,.,.,.,.,.,.
"Aruba",4,.,.,.,.,.,.,.,.,.,.,.,.
"Australia",370,1,4,46,32,0,...,3,43,200,39,2,...
"Azerbaidzan",7,.,.,.,.,.,.,.,.,.,.,.,.
"Bahama",2,.,.,.,.,.,.,.,.,.,.,.,.
"Bahrain",18,.,.,.,.,.,.,.,.,.,.,.,.
"Bangladesh",5,.,.,.,.,.,.,.,.,.,.,.,.
"Barbados",5,.,.,.,.,.,.,.,.,.,.,.,.
"Belgia",439,12,6,116,61,0,0,3,18,112,106,2,2
"Belize",0,.,.,.,.,.,.,.,.,.,.,.,.
"Benin",1,.,.,.,.,.,.,.,.,.,.,.,.
"Bermuda",6,.,.,.,.,.,.,.,.,.,.,.,.
"Bhutan",...,.,.,.,.,.,.,.,.,.,.,.,.
"Bolivia",2,.,.,.,.,.,.,.,.,.,.,.,.
"Bonaire, Sint Eustatius ja Saba",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bosnia ja Hertsegovina",4,.,.,.,.,.,.,.,.,.,.,.,.
"Botswana",1,.,.,.,.,.,.,.,.,.,.,.,.
"Bouvet'nsaari",0,.,.,.,.,.,.,.,.,.,.,.,.
"Brasilia",178,0,14,4,8,...,...,1,...,89,49,1,...
"Brittiläinen Intian valtameren alue",0,.,.,.,.,.,.,.,.,.,.,.,.
"Brittiläiset Neitsytsaaret",7,.,.,.,.,.,.,.,.,.,.,.,.
"Brunei",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bulgaria",22,...,...,1,1,...,...,...,2,9,5,...,...
"Burkina Faso",2,.,.,.,.,.,.,.,.,.,.,.,.
"Burundi",0,.,.,.,.,.,.,.,.,.,.,.,.
"Caymansaaret",...,.,.,.,.,.,.,.,.,.,.,.,.
"Chile",67,.,.,.,.,.,.,.,.,.,.,.,.
"Cookinsaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Costa Rica",6,.,.,.,.,.,.,.,.,.,.,.,.
"Curaçao",1,.,.,.,.,.,.,.,.,.,.,.,.
"Djibouti",1,.,.,.,.,.,.,.,.,.,.,.,.
"Dominica",0,.,.,.,.,.,.,.,.,.,.,.,.
"Dominikaaninen tasavalta",4,.,.,.,.,.,.,.,.,.,.,.,.
"Ecuador",4,.,.,.,.,.,.,.,.,.,.,.,.
"Egypti",14,.,.,.,.,.,.,.,.,.,.,.,.
"El Salvador",3,.,.,.,.,.,.,.,.,.,.,.,.
"Eritrea",0,.,.,.,.,.,.,.,.,.,.,.,.
"Espanja",461,5,13,73,103,4,1,6,86,91,76,2,2
"Etelä-Afrikka",86,...,5,3,3,...,...,...,23,41,10,...,...
"Etelä-Georgia ja Eteläiset Sandwichsaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Etelä-Sudan",0,.,.,.,.,.,.,.,.,.,.,.,.
"Etiopia",16,.,.,.,.,.,.,.,.,.,.,.,.
"Falklandinsaaret",...,.,.,.,.,.,.,.,.,.,.,.,.
"Fidzi",0,.,.,.,.,.,.,.,.,.,.,.,.
"Filippiinit",36,.,.,.,.,.,.,.,.,.,.,.,.
"Färsaaret",4,.,.,.,.,.,.,.,.,.,.,.,.
"Gabon",2,.,.,.,.,.,.,.,.,.,.,.,.
"Gambia",0,.,.,.,.,.,.,.,.,.,.,.,.
"Georgia",5,.,.,.,.,.,.,.,.,.,.,.,.
"Ghana",6,.,.,.,.,.,.,.,.,.,.,.,.
"Gibraltar",1,.,.,.,.,.,.,.,.,.,.,.,.
"Grenada",0,.,.,.,.,.,.,.,.,.,.,.,.
"Grönlanti",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guam",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guatemala",6,.,.,.,.,.,.,.,.,.,.,.,.
"Guernsey",2,.,.,.,.,.,.,.,.,.,.,.,.
"Guinea",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guinea-Bissau",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guyana",...,.,.,.,.,.,.,.,.,.,.,.,.
"Haiti",0,.,.,.,.,.,.,.,.,.,.,.,.
"Heard ja McDonaldinsaaret",...,.,.,.,.,.,.,.,.,.,.,.,.
"Honduras",2,.,.,.,.,.,.,.,.,.,.,.,.
"Hongkong",195,0,2,70,11,...,0,0,...,12,13,0,...
"Indonesia",109,...,20,2,2,0,...,...,10,32,42,...,...
"Intia",502,1,27,49,17,0,0,1,203,159,40,1,3
"Irak",6,.,.,.,.,.,.,.,.,.,.,.,.
"Iran",3,.,.,.,.,.,.,.,.,.,.,.,.
"Irlanti",1057,0,6,42,35,0,1,7,44,555,360,3,4
"Islanti",19,.,.,.,.,.,.,.,.,.,.,.,.
"Israel",85,.,.,.,.,.,.,.,.,.,.,.,.
